gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;1;BAC L;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;3;BAC S;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;27.0;3.0;16.0;4.0;7.0;1.0;0.0;1.0;2012;21.0;1.0;2.0;3.0
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;3;BAC S;R1;En retard d'un an;2;Femme;A;Très bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;09;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;8.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2012;3.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;05;Langues;65;Pluridisciplinaire langues;2;BAC ES;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;05;Langues;65;Pluridisciplinaire langues;4;BAC STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;;;;;;;;;2012;2.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;26;Philosophie, épistémologie;1;BAC L;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;27.0;6.0;12.0;8.0;14.0;0.0;0.0;0.0;2012;49.0;6.0;6.0;12.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;26;Philosophie, épistémologie;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;27;Histoire;1;BAC L;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;49.0;9.0;22.0;8.0;17.0;0.0;0.0;0.0;2012;50.0;5.0;5.0;10.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;27;Histoire;2;BAC ES;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;131.0;47.0;55.0;24.0;71.0;2.0;2.0;4.0;2012;137.0;38.0;24.0;62.0
